title	major_group	minor_group	broad_group	detailed_occupation
Geneticists (19-1029.03)	Life, Physical, and Social Science Occupations (19-0000)	Life Scientists (19-1000)	Biological Scientists (19-1020)	Biological Scientists, All Other (19-1029)
Conservation Scientists (19-1031.00)	Life, Physical, and Social Science Occupations (19-0000)	Life Scientists (19-1000)	Conservation Scientists and Foresters (19-1030)	Conservation Scientists (19-1031)
Soil and Water Conservationists (19-1031.01)	Life, Physical, and Social Science Occupations (19-0000)	Life Scientists (19-1000)	Conservation Scientists and Foresters (19-1030)	Conservation Scientists (19-1031)
Range Managers (19-1031.02)	Life, Physical, and Social Science Occupations (19-0000)	Life Scientists (19-1000)	Conservation Scientists and Foresters (19-1030)	Conservation Scientists (19-1031)
Park Naturalists (19-1031.03)	Life, Physical, and Social Science Occupations (19-0000)	Life Scientists (19-1000)	Conservation Scientists and Foresters (19-1030)	Conservation Scientists (19-1031)
Foresters (19-1032.00)	Life, Physical, and Social Science Occupations (19-0000)	Life Scientists (19-1000)	Conservation Scientists and Foresters (19-1030)	Foresters (19-1032)
Epidemiologists (19-1041.00)	Life, Physical, and Social Science Occupations (19-0000)	Life Scientists (19-1000)	Medical Scientists (19-1040)	Epidemiologists (19-1041)
Medical Scientists, Except Epidemiologists (19-1042.00)	Life, Physical, and Social Science Occupations (19-0000)	Life Scientists (19-1000)	Medical Scientists (19-1040)	Medical Scientists, Except Epidemiologists (19-1042)
Life Scientists, All Other (19-1099.00)	Life, Physical, and Social Science Occupations (19-0000)	Life Scientists (19-1000)	Miscellaneous Life Scientists (19-1090)	Life Scientists, All Other (19-1099)
Astronomers (19-2011.00)	Life, Physical, and Social Science Occupations (19-0000)	Physical Scientists (19-2000)	Astronomers and Physicists (19-2010)	Astronomers (19-2011)
Physicists (19-2012.00)	Life, Physical, and Social Science Occupations (19-0000)	Physical Scientists (19-2000)	Astronomers and Physicists (19-2010)	Physicists (19-2012)
Atmospheric and Space Scientists (19-2021.00)	Life, Physical, and Social Science Occupations (19-0000)	Physical Scientists (19-2000)	Atmospheric and Space Scientists (19-2020)	Atmospheric and Space Scientists (19-2021)
Chemists (19-2031.00)	Life, Physical, and Social Science Occupations (19-0000)	Physical Scientists (19-2000)	Chemists and Materials Scientists (19-2030)	Chemists (19-2031)
Materials Scientists (19-2032.00)	Life, Physical, and Social Science Occupations (19-0000)	Physical Scientists (19-2000)	Chemists and Materials Scientists (19-2030)	Materials Scientists (19-2032)
Environmental Scientists and Specialists, Including Health (19-2041.00)	Life, Physical, and Social Science Occupations (19-0000)	Physical Scientists (19-2000)	Environmental Scientists and Geoscientists (19-2040)	Environmental Scientists and Specialists, Including Health (19-2041)
Climate Change Analysts (19-2041.01)	Life, Physical, and Social Science Occupations (19-0000)	Physical Scientists (19-2000)	Environmental Scientists and Geoscientists (19-2040)	Environmental Scientists and Specialists, Including Health (19-2041)
Environmental Restoration Planners (19-2041.02)	Life, Physical, and Social Science Occupations (19-0000)	Physical Scientists (19-2000)	Environmental Scientists and Geoscientists (19-2040)	Environmental Scientists and Specialists, Including Health (19-2041)
Industrial Ecologists (19-2041.03)	Life, Physical, and Social Science Occupations (19-0000)	Physical Scientists (19-2000)	Environmental Scientists and Geoscientists (19-2040)	Environmental Scientists and Specialists, Including Health (19-2041)
Geoscientists, Except Hydrologists and Geographers (19-2042.00)	Life, Physical, and Social Science Occupations (19-0000)	Physical Scientists (19-2000)	Environmental Scientists and Geoscientists (19-2040)	Geoscientists, Except Hydrologists and Geographers (19-2042)
Hydrologists (19-2043.00)	Life, Physical, and Social Science Occupations (19-0000)	Physical Scientists (19-2000)	Environmental Scientists and Geoscientists (19-2040)	Hydrologists (19-2043)
Physical Scientists, All Other (19-2099.00)	Life, Physical, and Social Science Occupations (19-0000)	Physical Scientists (19-2000)	Miscellaneous Physical Scientists (19-2090)	Physical Scientists, All Other (19-2099)
Remote Sensing Scientists and Technologists (19-2099.01)	Life, Physical, and Social Science Occupations (19-0000)	Physical Scientists (19-2000)	Miscellaneous Physical Scientists (19-2090)	Physical Scientists, All Other (19-2099)
Economists (19-3011.00)	Life, Physical, and Social Science Occupations (19-0000)	Social Scientists and Related Workers (19-3000)	Economists (19-3010)	Economists (19-3011)
Environmental Economists (19-3011.01)	Life, Physical, and Social Science Occupations (19-0000)	Social Scientists and Related Workers (19-3000)	Economists (19-3010)	Economists (19-3011)
Survey Researchers (19-3022.00)	Life, Physical, and Social Science Occupations (19-0000)	Social Scientists and Related Workers (19-3000)	Survey Researchers (19-3020)	Survey Researchers (19-3022)
Clinical, Counseling, and School Psychologists (19-3031.00)	Life, Physical, and Social Science Occupations (19-0000)	Social Scientists and Related Workers (19-3000)	Psychologists (19-3030)	Clinical, Counseling, and School Psychologists (19-3031)
School Psychologists (19-3031.01)	Life, Physical, and Social Science Occupations (19-0000)	Social Scientists and Related Workers (19-3000)	Psychologists (19-3030)	Clinical, Counseling, and School Psychologists (19-3031)
Clinical Psychologists (19-3031.02)	Life, Physical, and Social Science Occupations (19-0000)	Social Scientists and Related Workers (19-3000)	Psychologists (19-3030)	Clinical, Counseling, and School Psychologists (19-3031)
Counseling Psychologists (19-3031.03)	Life, Physical, and Social Science Occupations (19-0000)	Social Scientists and Related Workers (19-3000)	Psychologists (19-3030)	Clinical, Counseling, and School Psychologists (19-3031)
Industrial-Organizational Psychologists (19-3032.00)	Life, Physical, and Social Science Occupations (19-0000)	Social Scientists and Related Workers (19-3000)	Psychologists (19-3030)	Industrial-Organizational Psychologists (19-3032)
Psychologists, All Other (19-3039.00)	Life, Physical, and Social Science Occupations (19-0000)	Social Scientists and Related Workers (19-3000)	Psychologists (19-3030)	Psychologists, All Other (19-3039)
Neuropsychologists and Clinical Neuropsychologists (19-3039.01)	Life, Physical, and Social Science Occupations (19-0000)	Social Scientists and Related Workers (19-3000)	Psychologists (19-3030)	Psychologists, All Other (19-3039)
Sociologists (19-3041.00)	Life, Physical, and Social Science Occupations (19-0000)	Social Scientists and Related Workers (19-3000)	Sociologists (19-3040)	Sociologists (19-3041)
Urban and Regional Planners (19-3051.00)	Life, Physical, and Social Science Occupations (19-0000)	Social Scientists and Related Workers (19-3000)	Urban and Regional Planners (19-3050)	Urban and Regional Planners (19-3051)
Anthropologists and Archeologists (19-3091.00)	Life, Physical, and Social Science Occupations (19-0000)	Social Scientists and Related Workers (19-3000)	Miscellaneous Social Scientists and Related Workers (19-3090)	Anthropologists and Archeologists (19-3091)
Anthropologists (19-3091.01)	Life, Physical, and Social Science Occupations (19-0000)	Social Scientists and Related Workers (19-3000)	Miscellaneous Social Scientists and Related Workers (19-3090)	Anthropologists and Archeologists (19-3091)
Archeologists (19-3091.02)	Life, Physical, and Social Science Occupations (19-0000)	Social Scientists and Related Workers (19-3000)	Miscellaneous Social Scientists and Related Workers (19-3090)	Anthropologists and Archeologists (19-3091)
Geographers (19-3092.00)	Life, Physical, and Social Science Occupations (19-0000)	Social Scientists and Related Workers (19-3000)	Miscellaneous Social Scientists and Related Workers (19-3090)	Geographers (19-3092)
Historians (19-3093.00)	Life, Physical, and Social Science Occupations (19-0000)	Social Scientists and Related Workers (19-3000)	Miscellaneous Social Scientists and Related Workers (19-3090)	Historians (19-3093)
Political Scientists (19-3094.00)	Life, Physical, and Social Science Occupations (19-0000)	Social Scientists and Related Workers (19-3000)	Miscellaneous Social Scientists and Related Workers (19-3090)	Political Scientists (19-3094)
Social Scientists and Related Workers, All Other (19-3099.00)	Life, Physical, and Social Science Occupations (19-0000)	Social Scientists and Related Workers (19-3000)	Miscellaneous Social Scientists and Related Workers (19-3090)	Social Scientists and Related Workers, All Other (19-3099)
Transportation Planners (19-3099.01)	Life, Physical, and Social Science Occupations (19-0000)	Social Scientists and Related Workers (19-3000)	Miscellaneous Social Scientists and Related Workers (19-3090)	Social Scientists and Related Workers, All Other (19-3099)
Agricultural and Food Science Technicians (19-4011.00)	Life, Physical, and Social Science Occupations (19-0000)	Life, Physical, and Social Science Technicians (19-4000)	Agricultural and Food Science Technicians (19-4010)	Agricultural and Food Science Technicians (19-4011)
Agricultural Technicians (19-4011.01)	Life, Physical, and Social Science Occupations (19-0000)	Life, Physical, and Social Science Technicians (19-4000)	Agricultural and Food Science Technicians (19-4010)	Agricultural and Food Science Technicians (19-4011)
Food Science Technicians (19-4011.02)	Life, Physical, and Social Science Occupations (19-0000)	Life, Physical, and Social Science Technicians (19-4000)	Agricultural and Food Science Technicians (19-4010)	Agricultural and Food Science Technicians (19-4011)
Biological Technicians (19-4021.00)	Life, Physical, and Social Science Occupations (19-0000)	Life, Physical, and Social Science Technicians (19-4000)	Biological Technicians (19-4020)	Biological Technicians (19-4021)
Chemical Technicians (19-4031.00)	Life, Physical, and Social Science Occupations (19-0000)	Life, Physical, and Social Science Technicians (19-4000)	Chemical Technicians (19-4030)	Chemical Technicians (19-4031)
Geological and Petroleum Technicians (19-4041.00)	Life, Physical, and Social Science Occupations (19-0000)	Life, Physical, and Social Science Technicians (19-4000)	Geological and Petroleum Technicians (19-4040)	Geological and Petroleum Technicians (19-4041)
Geophysical Data Technicians (19-4041.01)	Life, Physical, and Social Science Occupations (19-0000)	Life, Physical, and Social Science Technicians (19-4000)	Geological and Petroleum Technicians (19-4040)	Geological and Petroleum Technicians (19-4041)
Geological Sample Test Technicians (19-4041.02)	Life, Physical, and Social Science Occupations (19-0000)	Life, Physical, and Social Science Technicians (19-4000)	Geological and Petroleum Technicians (19-4040)	Geological and Petroleum Technicians (19-4041)
Nuclear Technicians (19-4051.00)	Life, Physical, and Social Science Occupations (19-0000)	Life, Physical, and Social Science Technicians (19-4000)	Nuclear Technicians (19-4050)	Nuclear Technicians (19-4051)
Nuclear Equipment Operation Technicians (19-4051.01)	Life, Physical, and Social Science Occupations (19-0000)	Life, Physical, and Social Science Technicians (19-4000)	Nuclear Technicians (19-4050)	Nuclear Technicians (19-4051)
Nuclear Monitoring Technicians (19-4051.02)	Life, Physical, and Social Science Occupations (19-0000)	Life, Physical, and Social Science Technicians (19-4000)	Nuclear Technicians (19-4050)	Nuclear Technicians (19-4051)
Social Science Research Assistants (19-4061.00)	Life, Physical, and Social Science Occupations (19-0000)	Life, Physical, and Social Science Technicians (19-4000)	Social Science Research Assistants (19-4060)	Social Science Research Assistants (19-4061)
City and Regional Planning Aides (19-4061.01)	Life, Physical, and Social Science Occupations (19-0000)	Life, Physical, and Social Science Technicians (19-4000)	Social Science Research Assistants (19-4060)	Social Science Research Assistants (19-4061)
Environmental Science and Protection Technicians, Including Health (19-4091.00)	Life, Physical, and Social Science Occupations (19-0000)	Life, Physical, and Social Science Technicians (19-4000)	Miscellaneous Life, Physical, and Social Science Technicians (19-4090)	Environmental Science and Protection Technicians, Including Health (19-4091)
Forensic Science Technicians (19-4092.00)	Life, Physical, and Social Science Occupations (19-0000)	Life, Physical, and Social Science Technicians (19-4000)	Miscellaneous Life, Physical, and Social Science Technicians (19-4090)	Forensic Science Technicians (19-4092)
Forest and Conservation Technicians (19-4093.00)	Life, Physical, and Social Science Occupations (19-0000)	Life, Physical, and Social Science Technicians (19-4000)	Miscellaneous Life, Physical, and Social Science Technicians (19-4090)	Forest and Conservation Technicians (19-4093)
Life, Physical, and Social Science Technicians, All Other (19-4099.00)	Life, Physical, and Social Science Occupations (19-0000)	Life, Physical, and Social Science Technicians (19-4000)	Miscellaneous Life, Physical, and Social Science Technicians (19-4090)	Life, Physical, and Social Science Technicians, All Other (19-4099)
Quality Control Analysts (19-4099.01)	Life, Physical, and Social Science Occupations (19-0000)	Life, Physical, and Social Science Technicians (19-4000)	Miscellaneous Life, Physical, and Social Science Technicians (19-4090)	Life, Physical, and Social Science Technicians, All Other (19-4099)
Precision Agriculture Technicians (19-4099.02)	Life, Physical, and Social Science Occupations (19-0000)	Life, Physical, and Social Science Technicians (19-4000)	Miscellaneous Life, Physical, and Social Science Technicians (19-4090)	Life, Physical, and Social Science Technicians, All Other (19-4099)
Remote Sensing Technicians (19-4099.03)	Life, Physical, and Social Science Occupations (19-0000)	Life, Physical, and Social Science Technicians (19-4000)	Miscellaneous Life, Physical, and Social Science Technicians (19-4090)	Life, Physical, and Social Science Technicians, All Other (19-4099)
Substance Abuse and Behavioral Disorder Counselors (21-1011.00)	Community and Social Service Occupations (21-0000)	Counselors, Social Workers, and Other Community and Social Service Specialists (21-1000)	Counselors (21-1010)	Substance Abuse and Behavioral Disorder Counselors (21-1011)
Educational, Guidance, School, and Vocational Counselors (21-1012.00)	Community and Social Service Occupations (21-0000)	Counselors, Social Workers, and Other Community and Social Service Specialists (21-1000)	Counselors (21-1010)	Educational, Guidance, School, and Vocational Counselors (21-1012)
Marriage and Family Therapists (21-1013.00)	Community and Social Service Occupations (21-0000)	Counselors, Social Workers, and Other Community and Social Service Specialists (21-1000)	Counselors (21-1010)	Marriage and Family Therapists (21-1013)
Mental Health Counselors (21-1014.00)	Community and Social Service Occupations (21-0000)	Counselors, Social Workers, and Other Community and Social Service Specialists (21-1000)	Counselors (21-1010)	Mental Health Counselors (21-1014)
Rehabilitation Counselors (21-1015.00)	Community and Social Service Occupations (21-0000)	Counselors, Social Workers, and Other Community and Social Service Specialists (21-1000)	Counselors (21-1010)	Rehabilitation Counselors (21-1015)
Counselors, All Other (21-1019.00)	Community and Social Service Occupations (21-0000)	Counselors, Social Workers, and Other Community and Social Service Specialists (21-1000)	Counselors (21-1010)	Counselors, All Other (21-1019)
Child, Family, and School Social Workers (21-1021.00)	Community and Social Service Occupations (21-0000)	Counselors, Social Workers, and Other Community and Social Service Specialists (21-1000)	Social Workers (21-1020)	Child, Family, and School Social Workers (21-1021)
Healthcare Social Workers (21-1022.00)	Community and Social Service Occupations (21-0000)	Counselors, Social Workers, and Other Community and Social Service Specialists (21-1000)	Social Workers (21-1020)	Healthcare Social Workers (21-1022)
Mental Health and Substance Abuse Social Workers (21-1023.00)	Community and Social Service Occupations (21-0000)	Counselors, Social Workers, and Other Community and Social Service Specialists (21-1000)	Social Workers (21-1020)	Mental Health and Substance Abuse Social Workers (21-1023)
Social Workers, All Other (21-1029.00)	Community and Social Service Occupations (21-0000)	Counselors, Social Workers, and Other Community and Social Service Specialists (21-1000)	Social Workers (21-1020)	Social Workers, All Other (21-1029)
Health Educators (21-1091.00)	Community and Social Service Occupations (21-0000)	Counselors, Social Workers, and Other Community and Social Service Specialists (21-1000)	Miscellaneous Community and Social Service Specialists (21-1090)	Health Educators (21-1091)
Probation Officers and Correctional Treatment Specialists (21-1092.00)	Community and Social Service Occupations (21-0000)	Counselors, Social Workers, and Other Community and Social Service Specialists (21-1000)	Miscellaneous Community and Social Service Specialists (21-1090)	Probation Officers and Correctional Treatment Specialists (21-1092)
Social and Human Service Assistants (21-1093.00)	Community and Social Service Occupations (21-0000)	Counselors, Social Workers, and Other Community and Social Service Specialists (21-1000)	Miscellaneous Community and Social Service Specialists (21-1090)	Social and Human Service Assistants (21-1093)
Community Health Workers (21-1094.00)	Community and Social Service Occupations (21-0000)	Counselors, Social Workers, and Other Community and Social Service Specialists (21-1000)	Miscellaneous Community and Social Service Specialists (21-1090)	Community Health Workers (21-1094)
Community and Social Service Specialists, All Other (21-1099.00)	Community and Social Service Occupations (21-0000)	Counselors, Social Workers, and Other Community and Social Service Specialists (21-1000)	Miscellaneous Community and Social Service Specialists (21-1090)	Community and Social Service Specialists, All Other (21-1099)
Clergy (21-2011.00)	Community and Social Service Occupations (21-0000)	Religious Workers (21-2000)	Clergy (21-2010)	Clergy (21-2011)
Directors, Religious Activities and Education (21-2021.00)	Community and Social Service Occupations (21-0000)	Religious Workers (21-2000)	Directors, Religious Activities and Education (21-2020)	Directors, Religious Activities and Education (21-2021)
Religious Workers, All Other (21-2099.00)	Community and Social Service Occupations (21-0000)	Religious Workers (21-2000)	Miscellaneous Religious Workers (21-2090)	Religious Workers, All Other (21-2099)
Lawyers (23-1011.00)	Legal Occupations (23-0000)	Lawyers, Judges, and Related Workers (23-1000)	Lawyers and Judicial Law Clerks (23-1010)	Lawyers (23-1011)
Judicial Law Clerks (23-1012.00)	Legal Occupations (23-0000)	Lawyers, Judges, and Related Workers (23-1000)	Lawyers and Judicial Law Clerks (23-1010)	Judicial Law Clerks (23-1012)
Administrative Law Judges, Adjudicators, and Hearing Officers (23-1021.00)	Legal Occupations (23-0000)	Lawyers, Judges, and Related Workers (23-1000)	Judges, Magistrates, and Other Judicial Workers (23-1020)	Administrative Law Judges, Adjudicators, and Hearing Officers (23-1021)
Arbitrators, Mediators, and Conciliators (23-1022.00)	Legal Occupations (23-0000)	Lawyers, Judges, and Related Workers (23-1000)	Judges, Magistrates, and Other Judicial Workers (23-1020)	Arbitrators, Mediators, and Conciliators (23-1022)
Judges, Magistrate Judges, and Magistrates (23-1023.00)	Legal Occupations (23-0000)	Lawyers, Judges, and Related Workers (23-1000)	Judges, Magistrates, and Other Judicial Workers (23-1020)	Judges, Magistrate Judges, and Magistrates (23-1023)
Paralegals and Legal Assistants (23-2011.00)	Legal Occupations (23-0000)	Legal Support Workers (23-2000)	Paralegals and Legal Assistants (23-2010)	Paralegals and Legal Assistants (23-2011)
Court Reporters (23-2091.00)	Legal Occupations (23-0000)	Legal Support Workers (23-2000)	Miscellaneous Legal Support Workers (23-2090)	Court Reporters (23-2091)
Title Examiners, Abstractors, and Searchers (23-2093.00)	Legal Occupations (23-0000)	Legal Support Workers (23-2000)	Miscellaneous Legal Support Workers (23-2090)	Title Examiners, Abstractors, and Searchers (23-2093)
Legal Support Workers, All Other (23-2099.00)	Legal Occupations (23-0000)	Legal Support Workers (23-2000)	Miscellaneous Legal Support Workers (23-2090)	Legal Support Workers, All Other (23-2099)
Business Teachers, Postsecondary (25-1011.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Business Teachers, Postsecondary (25-1010)	Business Teachers, Postsecondary (25-1011)
Computer Science Teachers, Postsecondary (25-1021.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Math and Computer Teachers, Postsecondary (25-1020)	Computer Science Teachers, Postsecondary (25-1021)
Mathematical Science Teachers, Postsecondary (25-1022.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Math and Computer Teachers, Postsecondary (25-1020)	Mathematical Science Teachers, Postsecondary (25-1022)
Architecture Teachers, Postsecondary (25-1031.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Engineering and Architecture Teachers, Postsecondary (25-1030)	Architecture Teachers, Postsecondary (25-1031)
Engineering Teachers, Postsecondary (25-1032.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Engineering and Architecture Teachers, Postsecondary (25-1030)	Engineering Teachers, Postsecondary (25-1032)
Agricultural Sciences Teachers, Postsecondary (25-1041.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Life Sciences Teachers, Postsecondary (25-1040)	Agricultural Sciences Teachers, Postsecondary (25-1041)
Biological Science Teachers, Postsecondary (25-1042.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Life Sciences Teachers, Postsecondary (25-1040)	Biological Science Teachers, Postsecondary (25-1042)
Forestry and Conservation Science Teachers, Postsecondary (25-1043.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Life Sciences Teachers, Postsecondary (25-1040)	Forestry and Conservation Science Teachers, Postsecondary (25-1043)
Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary (25-1051.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Physical Sciences Teachers, Postsecondary (25-1050)	Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary (25-1051)
Chemistry Teachers, Postsecondary (25-1052.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Physical Sciences Teachers, Postsecondary (25-1050)	Chemistry Teachers, Postsecondary (25-1052)
Environmental Science Teachers, Postsecondary (25-1053.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Physical Sciences Teachers, Postsecondary (25-1050)	Environmental Science Teachers, Postsecondary (25-1053)
Physics Teachers, Postsecondary (25-1054.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Physical Sciences Teachers, Postsecondary (25-1050)	Physics Teachers, Postsecondary (25-1054)
Anthropology and Archeology Teachers, Postsecondary (25-1061.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Social Sciences Teachers, Postsecondary (25-1060)	Anthropology and Archeology Teachers, Postsecondary (25-1061)
Area, Ethnic, and Cultural Studies Teachers, Postsecondary (25-1062.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Social Sciences Teachers, Postsecondary (25-1060)	Area, Ethnic, and Cultural Studies Teachers, Postsecondary (25-1062)
Economics Teachers, Postsecondary (25-1063.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Social Sciences Teachers, Postsecondary (25-1060)	Economics Teachers, Postsecondary (25-1063)
Geography Teachers, Postsecondary (25-1064.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Social Sciences Teachers, Postsecondary (25-1060)	Geography Teachers, Postsecondary (25-1064)
Political Science Teachers, Postsecondary (25-1065.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Social Sciences Teachers, Postsecondary (25-1060)	Political Science Teachers, Postsecondary (25-1065)
Psychology Teachers, Postsecondary (25-1066.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Social Sciences Teachers, Postsecondary (25-1060)	Psychology Teachers, Postsecondary (25-1066)
Sociology Teachers, Postsecondary (25-1067.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Social Sciences Teachers, Postsecondary (25-1060)	Sociology Teachers, Postsecondary (25-1067)
Social Sciences Teachers, Postsecondary, All Other (25-1069.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Social Sciences Teachers, Postsecondary (25-1060)	Social Sciences Teachers, Postsecondary, All Other (25-1069)
Health Specialties Teachers, Postsecondary (25-1071.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Health Teachers, Postsecondary (25-1070)	Health Specialties Teachers, Postsecondary (25-1071)
Nursing Instructors and Teachers, Postsecondary (25-1072.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Health Teachers, Postsecondary (25-1070)	Nursing Instructors and Teachers, Postsecondary (25-1072)
Education Teachers, Postsecondary (25-1081.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Education and Library Science Teachers, Postsecondary (25-1080)	Education Teachers, Postsecondary (25-1081)
Library Science Teachers, Postsecondary (25-1082.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Education and Library Science Teachers, Postsecondary (25-1080)	Library Science Teachers, Postsecondary (25-1082)
Criminal Justice and Law Enforcement Teachers, Postsecondary (25-1111.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Law, Criminal Justice, and Social Work Teachers, Postsecondary (25-1110)	Criminal Justice and Law Enforcement Teachers, Postsecondary (25-1111)
Law Teachers, Postsecondary (25-1112.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Law, Criminal Justice, and Social Work Teachers, Postsecondary (25-1110)	Law Teachers, Postsecondary (25-1112)
Social Work Teachers, Postsecondary (25-1113.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Law, Criminal Justice, and Social Work Teachers, Postsecondary (25-1110)	Social Work Teachers, Postsecondary (25-1113)
Art, Drama, and Music Teachers, Postsecondary (25-1121.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Arts, Communications, and Humanities Teachers, Postsecondary (25-1120)	Art, Drama, and Music Teachers, Postsecondary (25-1121)
Communications Teachers, Postsecondary (25-1122.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Arts, Communications, and Humanities Teachers, Postsecondary (25-1120)	Communications Teachers, Postsecondary (25-1122)
English Language and Literature Teachers, Postsecondary (25-1123.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Arts, Communications, and Humanities Teachers, Postsecondary (25-1120)	English Language and Literature Teachers, Postsecondary (25-1123)
Foreign Language and Literature Teachers, Postsecondary (25-1124.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Arts, Communications, and Humanities Teachers, Postsecondary (25-1120)	Foreign Language and Literature Teachers, Postsecondary (25-1124)
History Teachers, Postsecondary (25-1125.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Arts, Communications, and Humanities Teachers, Postsecondary (25-1120)	History Teachers, Postsecondary (25-1125)
Philosophy and Religion Teachers, Postsecondary (25-1126.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Arts, Communications, and Humanities Teachers, Postsecondary (25-1120)	Philosophy and Religion Teachers, Postsecondary (25-1126)
Graduate Teaching Assistants (25-1191.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Miscellaneous Postsecondary Teachers (25-1190)	Graduate Teaching Assistants (25-1191)
Home Economics Teachers, Postsecondary (25-1192.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Miscellaneous Postsecondary Teachers (25-1190)	Home Economics Teachers, Postsecondary (25-1192)
Recreation and Fitness Studies Teachers, Postsecondary (25-1193.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Miscellaneous Postsecondary Teachers (25-1190)	Recreation and Fitness Studies Teachers, Postsecondary (25-1193)
Vocational Education Teachers, Postsecondary (25-1194.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Miscellaneous Postsecondary Teachers (25-1190)	Vocational Education Teachers, Postsecondary (25-1194)
Postsecondary Teachers, All Other (25-1199.00)	Education, Training, and Library Occupations (25-0000)	Postsecondary Teachers (25-1000)	Miscellaneous Postsecondary Teachers (25-1190)	Postsecondary Teachers, All Other (25-1199)
Preschool Teachers, Except Special Education (25-2011.00)	Education, Training, and Library Occupations (25-0000)	Preschool, Primary, Secondary, and Special Education School Teachers (25-2000)	Preschool and Kindergarten Teachers (25-2010)	Preschool Teachers, Except Special Education (25-2011)
Kindergarten Teachers, Except Special Education (25-2012.00)	Education, Training, and Library Occupations (25-0000)	Preschool, Primary, Secondary, and Special Education School Teachers (25-2000)	Preschool and Kindergarten Teachers (25-2010)	Kindergarten Teachers, Except Special Education (25-2012)
Elementary School Teachers, Except Special Education (25-2021.00)	Education, Training, and Library Occupations (25-0000)	Preschool, Primary, Secondary, and Special Education School Teachers (25-2000)	Elementary and Middle School Teachers (25-2020)	Elementary School Teachers, Except Special Education (25-2021)
Middle School Teachers, Except Special and Career/Technical Education (25-2022.00)	Education, Training, and Library Occupations (25-0000)	Preschool, Primary, Secondary, and Special Education School Teachers (25-2000)	Elementary and Middle School Teachers (25-2020)	Middle School Teachers, Except Special and Career/Technical Education (25-2022)
Career/Technical Education Teachers, Middle School (25-2023.00)	Education, Training, and Library Occupations (25-0000)	Preschool, Primary, Secondary, and Special Education School Teachers (25-2000)	Elementary and Middle School Teachers (25-2020)	Career/Technical Education Teachers, Middle School (25-2023)
Secondary School Teachers, Except Special and Career/Technical Education (25-2031.00)	Education, Training, and Library Occupations (25-0000)	Preschool, Primary, Secondary, and Special Education School Teachers (25-2000)	Secondary School Teachers (25-2030)	Secondary School Teachers, Except Special and Career/Technical Education (25-2031)
